item_number,name,price,listPrice,product_pic,product_description,deliveryStatus,availability,review_count,review_ratings,categoryPath
1033405,Namaste Gluten Free USDA Organic Perfect Flour Blend 6-count (48 oz. each),74.99,74.99,"https://bfasset.costco-static.com/U447IH35/as/kgj57zgkccgcjc8q23p6jk/1033405-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350",Namaste Gluten Free USDA Organic Perfect Flour Blend 6-count (48 oz. each),in stock,in stock,304,4.6645002365112305,/grocery-household.html|/pantry.html|/baking.html
1036732,"Organic Celery Sticks, 2.5 lbs",0.0,0.0,"https://bfasset.costco-static.com/U447IH35/as/f6qqqzq74kt6fq2jjpx2r3q/1036732-inc__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Organic Celery Sticks, 2.5 lbs",,in stock,5,2.0,/grocery-household.html|/fresh-vegetables.html|/produce.html
1146288,"Medline Clear-Touch Vinyl Food Service Gloves, 100-count, 3-pack",14.99,14.99,"https://bfasset.costco-static.com/U447IH35/as/2xvpxc5h2m43wgcn6wpvc/100410436-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Clear-Touch Food Service Vinyl Gloves, 100-count, 3-pack, Large",in stock,in stock,200,4.244999885559082,/grocery-household.html|/cleaning-supplies.html|/household-cleaning.html
1487910,"Amylu Chicken Meatballs, Cranberry & Jalapeno, 46 oz",18.99,18.99,"https://bfasset.costco-static.com/U447IH35/as/2zgh6tg94c65vwkx3kn4th/1487910-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Amylu Chicken Meatballs, Cranberry & Jalapeno, 46 oz",in stock,in stock,0,0.0,/prepared-food.html|/grocery-household.html|/meat.html|/beef.html|/deli.html
1736936,"BIC Clic Stic Retractable Ballpoint Pen, Medium Point 1.0mm,  50-count",11.99,11.99,"https://bfasset.costco-static.com/U447IH35/as/9f2w7qns5r7bq2r682k6339/4000159900-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","BIC Clic Stic Retractable Ballpoint Pen, Medium Point 1.0mm,  50-count, Blue",in stock,in stock,45,3.8889000415802,/office-products.html|/grocery-household.html|/writing-supplies-pens.html|/all-costco-grocery.html|/writing-supplies.html|/household.html
1751772,"Dot’s Homestyle Pretzels, Original Seasoned Pretzel Twists, 35 oz",11.99,11.99,"https://bfasset.costco-static.com/U447IH35/as/ntrfhfwjpcnr84pfrcqszcx/1751772-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Dot’s Homestyle Pretzels, Original Seasoned Pretzel Twists, 35 oz",in stock,in stock,203,4.719200134277344,/grocery-household.html|/chips-pretzels.html|/pantry.html|/snacks.html|/baking.html
1931590,"Snowdonia Black Bomber Cheese, Full Wheel, 4.4 lbs.",99.99,99.99,"https://bfasset.costco-static.com/U447IH35/as/6rs5k33rh868mxrgf9qjw3/1931590-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Snowdonia Black Bomber Cheese, Full Wheel, 4.4 lbs.",in stock,in stock,4,5.0,/grocery-household.html|/cheese.html|/dairy-eggs-cheese.html
1931795,"Coombe Castle Blue Stilton, PDO, 4.4 lbs.",99.99,99.99,"https://bfasset.costco-static.com/U447IH35/as/gx3wvp3nrbr7rgmjbnhfrb78/1931795-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Coombe Castle Blue Stilton, PDO, 4.4 lbs.",in stock,in stock,0,0.0,/grocery-household.html|/cheese.html|/dairy-eggs-cheese.html
1979539,"Northern Wild Dried Morel Mushrooms, 1 Pack. 1 lb. Total",129.99,129.99,"https://bfasset.costco-static.com/U447IH35/as/mx67nn9cp8wtqv7rnkq2jbc/1979539-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Northern Wild Dried Morel Mushrooms, 1 Pack. 1 lb. Total",in stock,in stock,5,5.0,/grocery-household.html|/pantry.html
5577,"Wrigley's Spearmint Chewing Gum, 5-sticks, 40-count",12.99,12.99,"https://bfasset.costco-static.com/U447IH35/as/ns895qnk54m7hzjcjnsbr7tz/5577-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Wrigley's Spearmint Chewing Gum, 5-sticks, 40-count",in stock,in stock,0,0.0,/grocery-household.html|/candy.html|/gum-mints.html
