id,diffs,name
1001368!item.en-US,"{""review_count"": {""old"": ""1838"", ""new"": ""1839""}, ""review_ratings"": {""old"": ""4.8368000984191895"", ""new"": ""4.836900234222412""}}","Kirkland Signature, Organic Quinoa, 4.5 lbs"
1002373!item.en-US,"{""review_count"": {""old"": ""4128"", ""new"": ""4129""}, ""review_ratings"": {""old"": ""4.646299839019775"", ""new"": ""4.646399974822998""}}","Kirkland Signature, Organic Almond Beverage, Vanilla, 32 fl oz, 6-Count"
1010278!item.en-US,"{""review_count"": {""old"": ""1081"", ""new"": ""1082""}, ""review_ratings"": {""old"": ""4.352499961853027"", ""new"": ""4.350299835205078""}}","Caboo Bamboo Bath Tissue, 2-Ply, 400 Sheets, 24 Rolls"
1012553!item.en-US,"{""review_count"": {""old"": ""1964"", ""new"": ""1965""}, ""review_ratings"": {""old"": ""4.5518999099731445"", ""new"": ""4.552199840545654""}}","Great Southern Grass Fed Beef, ABF NY Strip CC Steak,(14/12 Oz. Per Steak), 14 Total Packs, 10.5 Lbs. Total"
1022894!item.en-US,"{""review_count"": {""old"": ""114"", ""new"": ""115""}, ""review_ratings"": {""old"": ""4.7895002365112305"", ""new"": ""4.782599925994873""}}","Winco 9-Inch Non-Slip Locking Tongs, Stainless Steel, 4-count"
1032932!item.en-US,"{""review_count"": {""old"": ""1741"", ""new"": ""1743""}, ""review_ratings"": {""old"": ""4.720300197601318"", ""new"": ""4.720600128173828""}}","Kirkland Signature Organic Raw Honey, 24 oz, 3-count"
1045706!item.en-US,"{""review_count"": {""old"": ""1606"", ""new"": ""1607""}, ""review_ratings"": {""old"": ""4.857399940490723"", ""new"": ""4.857500076293945""}}","Kirkland Signature, Organic Virgin Coconut Oil, 84 fl oz"
1048072!item.en-US,"{""review_count"": {""old"": ""31"", ""new"": ""32""}, ""review_ratings"": {""old"": ""3.80649995803833"", ""new"": ""3.8438000679016113""}}","Kirkland Signature Organic Greek Yogurt, 48 oz"
1050557!item.en-US,"{""review_count"": {""old"": ""4934"", ""new"": ""4935""}, ""review_ratings"": {""old"": ""4.737500190734863"", ""new"": ""4.737400054931641""}}","Kirkland Signature Peanut Butter Filled Pretzel Nuggets, 55 oz"
105508!item.en-US,"{""review_count"": {""old"": ""16"", ""new"": ""17""}, ""review_ratings"": {""old"": ""4.875"", ""new"": ""4.64709997177124""}}","Hershey's, Cookies N' Creme, 1.55 oz, 36-count"
1055688!item.en-US,"{""review_count"": {""old"": ""319"", ""new"": ""320""}, ""review_ratings"": {""old"": ""4.570499897003174"", ""new"": ""4.571899890899658""}}","Pringles Potato Chips, Original, 0.67 oz, 60-count"
1055728!item.en-US,"{""review_count"": {""old"": ""432"", ""new"": ""433""}, ""review_ratings"": {""old"": ""4.606500148773193"", ""new"": ""4.602799892425537""}}","Mott's Fruit Snacks, Assorted Fruit, 0.8 oz, 90-count"
1072687!item.en-US,"{""review_count"": {""old"": ""1364"", ""new"": ""1365""}, ""review_ratings"": {""old"": ""4.700099945068359"", ""new"": ""4.700399875640869""}}","Pure Vanilla Extract, 16 fl oz"
1079891!item.en-US,"{""review_count"": {""old"": ""942"", ""new"": ""943""}, ""review_ratings"": {""old"": ""4.507400035858154"", ""new"": ""4.503699779510498""}}","Marathon Dinner Napkin, 1/8 Fold, 2-Ply, 300-count, 3-pack"
1082839!item.en-US,"{""review_count"": {""old"": ""1202"", ""new"": ""1204""}, ""review_ratings"": {""old"": ""4.708799839019775"", ""new"": ""4.7093000411987305""}}","FITCRUNCH Protein Bars, 16g Protein, Chocolate Peanut Butter, 1.62 oz, 18-count"
1083117!item.en-US,"{""review_count"": {""old"": ""876"", ""new"": ""877""}, ""review_ratings"": {""old"": ""4.811600208282471"", ""new"": ""4.8119001388549805""}}","Rodelle, Gourmet Baking Cocoa Powder, 25 oz"
1084023!item.en-US,"{""review_count"": {""old"": ""2973"", ""new"": ""2978""}, ""review_ratings"": {""old"": ""4.64139986038208"", ""new"": ""4.642000198364258""}}","La Grande Galette French Butter Cookies, 1.3 lb, 6-pack"
1085910!item.en-US,"{""review_count"": {""old"": ""663"", ""new"": ""664""}, ""review_ratings"": {""old"": ""4.763199806213379"", ""new"": ""4.763599872589111""}}","OREO Chocolate Sandwich Cookies, 2.4 oz, 30-count"
1089787!item.en-US,"{""review_count"": {""old"": ""11211"", ""new"": ""11213""}}","Kirkland Signature Flex-Tech 13-Gallon Kitchen Trash Bag, 200-count"
1091342!item.en-US,"{""review_count"": {""old"": ""652"", ""new"": ""653""}, ""review_ratings"": {""old"": ""4.691699981689453"", ""new"": ""4.692200183868408""}}","Acetum Organic Apple Cider Vinegar with the Mother, 128 fl. oz."
1093993!item.en-US,"{""review_count"": {""old"": ""1138"", ""new"": ""1139""}, ""review_ratings"": {""old"": ""4.704699993133545"", ""new"": ""4.704999923706055""}}","Kleenex Ultra Slim Wallet Facial Tissue, 3-Ply, 10-count, 36-pack"
1098446!item.en-US,"{""review_count"": {""old"": ""3886"", ""new"": ""3890""}, ""review_ratings"": {""old"": ""4.811100006103516"", ""new"": ""4.811299800872803""}}","San Francisco French Roast Whole Bean Coffee 3 lb, 2-pack"
