id,item_number,name,price,listPrice,product_pic,product_description,deliveryStatus,availability,review_count,review_ratings,categoryPath
512599!item.en-US,512599,"Kirkland Signature Paper Towels, 2-Ply, 160 Sheets, 12 Individually Wrapped Rolls",23.99,23.99,"https://bfasset.costco-static.com/U447IH35/as/b9n5vvr68qsp8tvknq74kk8/512599-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Kirkland Signature Paper Towels, 2-Ply, 160 Sheets, 12 Individually Wrapped Rolls",in stock,in stock,36817,4.815499782562256,/kirkland-signature-groceries.html|/grocery-household.html|/view-more.html|/holiday-seasonal-gift-guides.html|/paper-towels-napkins.html|/easter.html|/paper-products-food-storage.html
6262016!item.en-US,6262016,"Kirkland Signature Bath Tissue, 2-Ply, 380 Sheets, 30 Rolls",24.99,24.99,"https://bfasset.costco-static.com/U447IH35/as/6ch3zk6968wcpmn844m65x/6262016-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Kirkland Signature Bath Tissue, 2-Ply, 380 Sheets, 30 Rolls",in stock,in stock,17276,4.631100177764893,/toilet-paper.html|/grocery-household.html|/view-more.html|/holiday-seasonal-gift-guides.html|/paper-products-food-storage.html|/back-to-school.html
1919326!item.en-US,1919326,"Bounty Advanced Paper Towels, 2-Ply, 103 Sheets, 12-count",32.99,32.99,"https://bfasset.costco-static.com/U447IH35/as/r74wmrkvsmvzbvfgpz5kwh/4000346087-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Bounty Advanced Paper Towels, 2-Ply, 103 Sheets, 12-count",in stock,in stock,1135,4.77269983291626,/grocery-household.html|/paper-towels-napkins.html|/paper-products-food-storage.html
3427647!item.en-US,3427647,"Charmin Ultra Strong Bath Tissue, 2-Ply, 220 Sheets, 30 Rolls",33.99,33.99,"https://bfasset.costco-static.com/U447IH35/as/283z38cpk9c8m6bp735vqg/4000305712-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Charmin Ultra Strong Bath Tissue, 2-Ply, 220 Sheets, 30 Rolls",in stock,in stock,1666,4.681300163269043,/toilet-paper.html|/grocery-household.html|/paper-products-food-storage.html
1089787!item.en-US,1089787,"Kirkland Signature Flex-Tech 13-Gallon Kitchen Trash Bag, 200-count",19.99,19.99,"https://bfasset.costco-static.com/U447IH35/as/cpbmvn4rfcp6hbjm76w7vf6z/1089787-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Kirkland Signature Flex-Tech 13-Gallon Kitchen Trash Bag, 200-count",in stock,in stock,11211,4.826000213623047,/kirkland-signature-groceries.html|/grocery-household.html|/trash-bags.html|/household-cleaning.html
692731!item.en-US,692731,"Kirkland Signature, Organic Extra Virgin Olive Oil, 2 L",20.99,20.99,"https://bfasset.costco-static.com/U447IH35/as/mcxm3vpbtqpsn628kkcvp7fr/692731-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Kirkland Signature, Organic Extra Virgin Olive Oil, 2 L",in stock,in stock,5948,4.802000045776367,/kirkland-signature-groceries.html|/grocery-household.html|/oils-balsamic.html|/organic-groceries.html|/pantry.html
990929!item.en-US,990929,"Dawn Platinum Advanced Power Liquid Dish Soap, 90 fl oz",13.69,13.69,"https://bfasset.costco-static.com/U447IH35/as/qj4vj5cccp4rn4588t96f3sp/990929-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Dawn Platinum Advanced Power Liquid Dish Soap, 90 fl oz",in stock,in stock,5129,4.706999778747559,/grocery-household.html|/household-cleaning.html|/dish-detergent.html
2727590!item.en-US,2727590,"Cascade Platinum Plus Dishwasher Detergent ActionPacs, Fresh, 82-count",28.99,28.99,"https://bfasset.costco-static.com/U447IH35/at/8sxh5sp5qjr6xs6snhnts7h8/2727590__1.psd?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Cascade Platinum Plus Dishwasher Detergent ActionPacs, Fresh, 82-count",in stock,in stock,408,4.816199779510498,/grocery-household.html|/household-cleaning.html|/dish-detergent.html
1725952!item.en-US,1725952,"Kirkland Signature Ultra Soft Bath Tissue, 2-Ply, 231 Sheets, 36 Rolls",24.99,24.99,"https://bfasset.costco-static.com/U447IH35/as/tkbx3fxxqmqwgq93kpj9s6/1725952-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Kirkland Signature Ultra Soft Bath Tissue, 2-Ply, 231 Sheets, 36 Rolls",in stock,in stock,2742,4.70389986038208,/toilet-paper.html|/kirkland-signature-groceries.html|/grocery-household.html|/view-more.html|/holiday-seasonal-gift-guides.html|/easter.html|/paper-products-food-storage.html
1627770!item.en-US,1627770,"Frito Lay Classic Mix, 1 oz, Variety Pack, 54-count",23.49,23.49,"https://bfasset.costco-static.com/U447IH35/as/tt59cfsgcptf76rncnjf2b3g/1627770-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Frito Lay Classic Mix, 1 oz, Variety Pack, 54-count",in stock,in stock,586,4.684299945831299,/grocery-household.html|/chips-pretzels.html|/snacks.html
